UID,V1,V2,COMMENTS
ODPT,stark verdumpftes a [ɒ],,
OEAH,neutrales a [ɑ],,
OEZX,leicht verdumpftes a [ɑ̹],,
OFCF,stark verdumpftes a [ɒ],,
OFFV,leicht verdumpftes a [ɑ̹],,
OFQQ,sehr helles a [a],,
OFXV,neutrales a [ɑ],,
OGPV,neutrales a [ɑ],,
OGQG,leicht verdumpftes a [ɑ̹],,
OHPG,stark verdumpftes a [ɒ],,
OIDW,neutrales a [ɑ],,
OKGR,leicht verdumpftes a [ɑ̹],,
OKOZ,neutrales a [ɑ],,
OKWW,leicht verdumpftes a [ɑ̹],,
OLBL,stark verdumpftes a [ɒ],,
OLQM,stark verdumpftes a [ɒ],,
OOMM,leicht verdumpftes a [ɑ̹],,
OPGH,stark verdumpftes a [ɒ],,
ORGN,stark verdumpftes a [ɒ],,
ORWP,sehr helles a [a],,
ORZF,neutrales a [ɑ],,
ORZO,leicht verdumpftes a [ɑ̹],,
OSIL,neutrales a [ɑ],,
OTGL,stark verdumpftes a [ɒ],,
OTKB,sehr helles a [a],,
OUQD,neutrales a [ɑ],,
OUZE,neutrales a [ɑ],,
OWGL,leicht verdumpftes a [ɑ̹],,
OWIM,leicht verdumpftes a [ɑ̹],,
OYFQ,stark verdumpftes a [ɒ],,
OYUZ,leicht verdumpftes a [ɑ̹],,
OYYZ,neutrales a [ɑ],,
OZSY,leicht verdumpftes a [ɑ̹],,
PCJF,leicht verdumpftes a [ɑ̹],,
PCMF,leicht verdumpftes a [ɑ̹],,
PCNX,sehr helles a [a],,
PDLD,leicht verdumpftes a [ɑ̹],,
PEAV,sehr helles a [a],,
PGMA,stark verdumpftes a [ɒ],,
PIVE,neutrales a [ɑ],,
PJCV,leicht verdumpftes a [ɑ̹],,
PLSP,leicht verdumpftes a [ɑ̹],,
PMBH,sehr helles a [a],,
PMLQ,leicht verdumpftes a [ɑ̹],,
PQFD,leicht verdumpftes a [ɑ̹],,
PRTT,leicht verdumpftes a [ɑ̹],,
PTMF,leicht verdumpftes a [ɑ̹],,
PWBS,leicht verdumpftes a [ɑ̹],,
PWRG,stark verdumpftes a [ɒ],,
PXDH,neutrales a [ɑ],,
PXYB,stark verdumpftes a [ɒ],,
PYDG,leicht verdumpftes a [ɑ̹],,
PYRT,leicht verdumpftes a [ɑ̹],,
PZKU,neutrales a [ɑ],,
QAMI,leicht verdumpftes a [ɑ̹],,
QBCZ,leicht verdumpftes a [ɑ̹],,
QBYH,stark verdumpftes a [ɒ],,
QDBA,stark verdumpftes a [ɒ],,
QDCG,leicht verdumpftes a [ɑ̹],,
QDGR,leicht verdumpftes a [ɑ̹],,
QDGV,stark verdumpftes a [ɒ],,
QEOR,stark verdumpftes a [ɒ],,
QFCD,neutrales a [ɑ],,
QFPK,sehr helles a [a],,
QGPN,leicht verdumpftes a [ɑ̹],,
QKEJ,neutrales a [ɑ],,
QKJG,sehr helles a [a],,
QKOW,sehr helles a [a],,
QKPX,sehr helles a [a],,
QMBF,sehr helles a [a],,
QMGE,neutrales a [ɑ],,
QMNB,leicht verdumpftes a [ɑ̹],,
QNPX,neutrales a [ɑ],,
QNXD,leicht verdumpftes a [ɑ̹],,
QOOD,leicht verdumpftes a [ɑ̹],,
QOST,neutrales a [ɑ],,
QQKY,sehr helles a [a],,
QRRJ,stark verdumpftes a [ɒ],,
QSIC,neutrales a [ɑ],,
QVTY,sehr helles a [a],,
QVWW,sehr helles a [a],,
QVXX,neutrales a [ɑ],,
QVYB,neutrales a [ɑ],,
QVYF,leicht verdumpftes a [ɑ̹],,
QWZT,neutrales a [ɑ],,
QXIH,leicht verdumpftes a [ɑ̹],,
QYGT,leicht verdumpftes a [ɑ̹],,
QZDY,leicht verdumpftes a [ɑ̹],,
QZEX,neutrales a [ɑ],,
RAJQ,neutrales a [ɑ],,
RAKP,leicht verdumpftes a [ɑ̹],,
RATN,stark verdumpftes a [ɒ],,
RBLS,neutrales a [ɑ],,
RBOG,stark verdumpftes a [ɒ],,
RCDF,leicht verdumpftes a [ɑ̹],,
RCFR,sehr helles a [a],,
RCWY,sehr helles a [a],,
RDTE,sehr helles a [a],,
RGML,sehr helles a [a],,
RGSE,leicht verdumpftes a [ɑ̹],,
RHJX,neutrales a [ɑ],,
RHWR,leicht verdumpftes a [ɑ̹],,
RHYD,neutrales a [ɑ],,
RIOS,neutrales a [ɑ],,
RJVT,stark verdumpftes a [ɒ],,
RLFX,leicht verdumpftes a [ɑ̹],,
RLZK,sehr helles a [a],,
RMKN,stark verdumpftes a [ɒ],,
RMNW,sehr helles a [a],,
RMYB,neutrales a [ɑ],,
RMZZ,stark verdumpftes a [ɒ],,
RNEW,leicht verdumpftes a [ɑ̹],,
RNLY,sehr helles a [a],,
ROMW,stark verdumpftes a [ɒ],,
ROPY,leicht verdumpftes a [ɑ̹],,
ROYT,leicht verdumpftes a [ɑ̹],,
RQHU,stark verdumpftes a [ɒ],,
RQJR,neutrales a [ɑ],,
RRAU,leicht verdumpftes a [ɑ̹],,
RRDW,neutrales a [ɑ],,
RRUY,leicht verdumpftes a [ɑ̹],,
RRWK,stark verdumpftes a [ɒ],,
RSUK,neutrales a [ɑ],,
RVHZ,leicht verdumpftes a [ɑ̹],,
RVPF,neutrales a [ɑ],,
RWZQ,neutrales a [ɑ],,
RXAO,leicht verdumpftes a [ɑ̹],,
RXJS,sehr helles a [a],,
RXSC,leicht verdumpftes a [ɑ̹],,
RYDG,stark verdumpftes a [ɒ],,
RZKH,leicht verdumpftes a [ɑ̹],,
SATI,leicht verdumpftes a [ɑ̹],,
SAUU,neutrales a [ɑ],,
SBMK,stark verdumpftes a [ɒ],,
SCON,neutrales a [ɑ],,
SCTT,neutrales a [ɑ],,
