UID,V1,V2,COMMENTS
UOSS,Bütschgi,,
UPAW,SDATS_Räscht(e),,"""dr räscht vom pummi"""
UQJA,SDATS_Chnäschi,,Chäschi
UQKW,Gröibschi,,
URJL,Grübschi,,Gribschi
USUU,Bütschgi,,
UUCL,Gröibschi,,
UVIA,Gröibschi,,
UWMU,Bütschgi,,
UWOZ,Gröibschi,,
UWSQ,Gige(r)tschi,,
UXEI,Bätzi,,
UZPN,Bitschgi,,
VATG,Gröibschi,,
VBQG,Bütschgi,,
VCMZ,SDATS_Räscht(e),,
VCZR,Gige(r)tschi,,
VEKJ,Gröibschi,,
VETL,Bitschgi,,
VFBX,Bitzgi,,
VFEX,Grübschi,,
VFKD,Bitzgi,,
VFLN,Bütschgi,,
VGMD,SDATS_Grümpschi,,
VGXK,Bitschgi,,
VHUA,Gröibschi,,
VIKF,Bätzgi,,
VITE,Güürbsi,,gürbschi
VIVS,Bätzgi,,
VJUZ,Bitzgi,,
VJVC,Bütschgi,,
VJYT,Bätzi,,
VLFD,Gröibschi,,
VMPG,Bitschgi,,
VMXT,Bätzgi,,batzgi
VNQO,Gröitschi,,
VOVJ,Grübschi,,
VOXQ,Bitschgi,,
VOZO,Bütschgi,,
VPSN,0_NA,,
VQED,Bitzgi,,
VQVH,Bitzgi,,
VRIT,Bütschgi,,
VRKE,Bitzgi,,öpfelbitzgi
VRSA,Bätzgi,,
VRST,Bitzgi,,
VSXG,Gröitschi,,
VTEA,Bitschgi,,
VUCU,Grübschi,,Grüebschi
VUJO,SDATS_Buschi ,,
VUTP,Bitschgi,,
VUYF,Bitschgi,,
VVAO,Bütschgi,,
VWOO,Bitschgi,,
VXQH,Bitzgi,,
VYVF,Bütschgi,,
VZZC,Bütschgi,,
WBHX,Bütschgi,,
WCAR,Bütschgi,,
WCPR,Gröibschi,,
WCWE,Gütschi,,
WDZS,Butschgi,,
WFDO,Bütschgi,,
WFQK,Gröitschi,,
WGFT,0_NA,,
WHVY,Bätzi,,
WIAS,Gröibschi,,
WIWF,Bitzgi,,
WJHB,Bitschgi,,
WJWW,Bitschgi,,
WKBB,Bitschgi,,
WLOX,Gröitschi,,
WNIY,Bitschgi,,
WNMA,Bitschgi,,
WOZO,Bütschgi,,
WRWX,Bütschgi,,
WSZF,Bütschgi,,
WTEK,Üürbsi,,
WUCN,SDATS_Chnäschi,,
WUEY,Bütschgi,,
WUQD,Bitschgi,,
WVLP,Bitzgi,,
WVTO,Bütschgi,,
WYIV,Bütschgi,,
XAEL,Bitschgi,,öpfelbitschgi
XBSQ,0_NA,,
XCEL,Bätzi,,
XCIM,Bitschgi,,
XDBM,Güürbsi,,
XDIE,SDATS_Grotschetu,,
XDYX,Grübschi,,
XEKM,Bütschgi,,
XEUG,Buschgi,,
XGAA,Bätschgi,,Bätschi
XIOT,Gütschi,,Gübschgi
XIUW,Bitzgi,,
XIWJ,Bütschgi,,
XIXL,Bitzgi,,
XJVW,Bütschgi,,
XMFF,Hüschtschi,,
XMXO,Üürbsi,,
XMZW,SDATS_Pfuschi,,
XNAU,Bitschgi,,
XNEG,Gröibschi,,
