UID,V1,V2,V3,COMMENTS
XVXT,glunte,,,
XXCT,pfütz-e,,,
XYCB,pfütz-e,,,
XYEE,glungge_glügge,,,
XYEK,glungge_glügge,,,
XYMB,gunt-e,,,
XZKG,gu-u-dle,,,
YBWQ,glungge_glügge,,,
YCXF,glunte,,,
YDIO,pfütz-e,,,
YDPY,gunt-e,,,
YDQV,glunte,,,
YDSB,butz,,,
YECE,glunggi,,,
YELS,gille,,,spez. gillo
YFEF,pfütz-e,,,
YFQM,glungge_glügge,,,
YFTY,pfütz-e,,,
YGDB,pfütz-e,,,
YGDZ,glumpe,,,
YGIV,pfütz-e,,,
YGXH,glumpe,,,
YGYR,gunt-e,,,
YHSV,pfütz-e,,,
YIIZ,glungge_glügge,,,
YIKI,gunt-e,,,
YIRI,glungge_glügge,,,
YJHC,glungge_glügge,,,
YJSI,lache,,,
YKFP,glunte,,,
YLOG,gump-e,,,
YLYK,pfütz-e,glunte,,
YMLU,pfütz-e,,,
YMTU,gunt-e,,,
YNDU,pfütz-e,,,
YOFQ,glungge_glügge,,,
YOGB,gu-u-dle,,,
YPDC,gunt-e,,,
YPWC,glutte,,,
YQIB,glungge_glügge,,,
YRCD,gunt-e,,,
YRWJ,glungge_glügge,,,
YRYC,pfütz-e,,,
YUAF,tümpel,,,
YVTX,glungge_glügge,,,
YXMA,glumpe,,,
